Key Operating Income %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,-11.52,,,21.06,15.18,12.81,14.72,10.87,6.37,1.88,-3.56
3-Year Average,-2.78,,-19.85,-11.02,,16.3,14.24,12.79,10.6,6.31,
5-Year Average,-0.6,,-11.76,-9.25,-6.41,-1.75,,14.88,11.95,9.23,
10-Year Average,6.41,,0.23,-3.66,2.66,-1.18,0.36,0.68,0.79,1.11,
