Key Margins % of Sales,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Revenue,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
COGS,43.8,8.2,20.99,2.15,19.69,18.53,22.21,13.29,7.93,7.64,7.64
Gross Margin,56.2,91.8,79.01,102.15,80.31,81.47,77.79,86.71,92.07,92.36,92.36
SG&A,,,,63.25,,,,,,,
R&D,,,,,,,,,,,
Other,-2.41,66.13,59.11,28.11,71.12,67.73,76.64,76.84,85.78,83.41,83.41
Operating Margin,58.61,25.67,19.9,10.79,9.19,13.75,1.15,9.87,6.29,8.94,8.94
Net Int Inc & Other,2.09,6.17,4.81,4.09,3.09,2.02,-0.29,-24.26,-10.74,-15.12,-15.12
EBT Margin,60.7,31.84,24.7,14.88,12.29,15.77,0.86,-14.39,-4.45,-6.17,-6.17
