Key Operating Income %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,,,,,,108.43,54.69,0.91,642.41,50.46,
3-Year Average,,,,,,,,48.18,126.3,124.22,
5-Year Average,,,,,,,,,,105.16,
10-Year Average,,,,,,,,,,,
