Key Operating Income %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,-15.84,10.8,-52.25,181.34,15.87,-11.84,-18.87,7.11,-46.93,24.19,-20.58
3-Year Average,-3.29,-1.65,-23.64,14.18,15.9,42.18,-6.07,-8.5,-22.74,-10.96,
5-Year Average,1.54,-4.59,-13.7,5.03,7.74,8.74,2.17,20.09,-13.98,-12.78,
10-Year Average,-8.11,-7.5,-14.14,17.86,14.71,5.08,-1.27,1.8,-4.95,-3.06,
