Key Efficiency Ratios,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Days Sales Outstanding,,,118.77,112.15,,,,,,,
Days Inventory,,,17.69,31.47,,,,,,,
Payables Period,,,128.0,186.27,,,,,,,
Cash Conversion Cycle,,,8.46,-42.65,,,,,,,
Receivables Turnover,,,3.07,3.25,,,,,,,
Inventory Turnover,,,20.64,11.6,,,,,,,
Fixed Assets Turnover,,,0.19,0.49,,,,,,,
Asset Turnover,,,0.1,0.27,,,,,,,
