Key Profitability,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Tax Rate %,,,,,,,,,,,
Net Margin %,,,,,,,,,-128.24,-215.3,-215.3
Asset Turnover (Average),,,,,,,,,0.5,0.38,0.38
Return on Assets %,,,,,,,,,-63.6,-82.14,-82.14
Financial Leverage (Average),,,,,,,,1.12,1.5,2.23,2.23
Return on Equity %,,,,,,,,,-79.74,-144.36,-144.36
Return on Invested Capital %,,,,,,,,,-80.16,-144.81,-144.81
Interest Coverage,,,,,,,,,-141.03,-296.29,-296.29
