Key EPS %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,,,,,,22.43,16.82,15.17,12.95,-9.29,38.32
3-Year Average,,,,,,,,18.1,14.97,5.67,
5-Year Average,,,,,,,,,,11.03,
10-Year Average,,,,,,,,,,,
