Key Revenue %,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Year over Year,18.05,6.6,-25.98,13.89,13.52,4.36,-1.66,10.48,-0.32,-18.89,5.25
3-Year Average,20.74,14.98,-2.34,-3.5,-1.46,10.5,5.22,4.28,2.69,-3.7,
5-Year Average,21.36,19.46,6.79,5.08,3.79,1.26,-0.36,7.95,5.11,-1.72,
10-Year Average,13.41,12.08,7.65,7.62,8.87,10.86,9.1,7.37,5.1,0.99,
