Key Revenue %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,6.14,-14.4,11.89,-2.42,10.02,25.34,4.04,12.93,-7.26,13.9,44.21
3-Year Average,-4.23,-12.53,0.55,-2.23,6.3,10.4,12.79,13.77,2.9,6.05,
5-Year Average,3.06,-4.9,-3.4,-6.09,1.76,5.21,9.39,9.59,8.48,9.24,
10-Year Average,,,,,,4.13,1.99,2.89,0.94,5.43,
