Key Cash Flow Ratios,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Operating Cash Flow Growth % YOY,,-547.0,,,,-146.0,,,,,
Free Cash Flow Growth % YOY,,,,,,,,,,,
Cap Ex as a % of Sales,10.72,13.17,8.2,8.78,25.65,40.33,17.59,5.83,8.74,10.07,11.19
Free Cash Flow/Sales %,14.61,7.65,15.33,9.56,-12.81,-26.69,-6.35,3.69,0.18,6.7,-1.83
Free Cash Flow/Net Income,1.49,0.43,1.46,1.77,-5.9,-7.62,1.86,4.37,,-1.07,0.14
