Key Revenue %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,3.53,1.57,-2.41,2.81,3.51,10.8,8.17,7.43,7.97,6.14,-0.65
3-Year Average,11.87,6.47,0.87,0.63,1.27,5.65,7.45,8.79,7.86,7.17,
5-Year Average,21.74,12.42,6.78,3.9,1.78,3.17,4.48,6.5,7.55,8.09,
10-Year Average,20.2,18.97,16.41,15.88,14.52,12.07,8.37,6.64,5.71,4.89,
