Key Cash Flow Ratios,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Operating Cash Flow Growth % YOY,,,,,,86.34,,,,,
Free Cash Flow Growth % YOY,,,,,,300.29,,,,,
Cap Ex as a % of Sales,16.29,18.34,23.06,26.54,6.71,4.66,4.24,10.54,12.14,3.32,10.09
Free Cash Flow/Sales %,-143.15,-147.38,-442.72,-469.76,3.48,12.88,-8.5,-98.96,-47.54,10.55,23.11
Free Cash Flow/Net Income,0.73,0.56,0.7,0.89,1.66,-1.84,0.23,0.78,0.88,-1.6,2.71
