Key Financials AUD,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Revenue AUD Mil,49.0,50.0,60.0,72.0,96.0,126.0,140.0,123.0,150.0,154.0,154.0
Gross Margin %,93.5,94.7,95.4,97.4,95.6,92.9,94.6,96.4,99.0,99.3,99.3
Operating Income AUD Mil,6.0,6.0,7.0,9.0,10.0,15.0,12.0,10.0,3.0,5.0,5.0
Operating Margin %,12.1,11.5,11.2,12.2,10.6,11.8,8.6,8.1,2.1,3.5,3.5
Net Income AUD Mil,10.0,4.0,5.0,6.0,7.0,10.0,10.0,6.0,20.0,6.0,6.0
Earnings Per Share AUD,0.16,0.07,0.08,0.11,0.12,0.16,0.15,0.09,0.3,0.09,0.09
Dividends AUD,0.05,0.05,0.06,0.09,0.1,0.1,0.11,0.11,0.11,0.03,0.03
Payout Ratio % *,63.1,77.3,74.3,86.1,111.0,53.1,64.2,100.1,34.9,70.4,28.3
Shares Mil,59.0,59.0,59.0,59.0,59.0,60.0,64.0,64.0,67.0,69.0,69.0
Book Value Per Share * AUD,0.44,0.47,0.51,0.57,0.61,0.71,0.89,0.92,1.2,1.19,1.16
Operating Cash Flow AUD Mil,8.0,6.0,7.0,7.0,7.0,16.0,12.0,13.0,10.0,18.0,18.0
Cap Spending AUD Mil,-6.0,-6.0,-12.0,-4.0,-5.0,-13.0,-18.0,-31.0,-15.0,-7.0,-7.0
Free Cash Flow AUD Mil,2.0,-0.0,-5.0,4.0,2.0,3.0,-6.0,-18.0,-6.0,11.0,11.0
Free Cash Flow Per Share * AUD,0.03,-0.01,-0.08,0.06,0.04,-0.05,0.1,-0.39,0.04,-0.02,
Working Capital AUD Mil,3.0,1.0,5.0,6.0,10.0,9.0,9.0,4.0,10.0,4.0,
