Key EPS %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,,,,,-96.4,496.55,102.89,45.54,-19.01,-70.13,191.09
3-Year Average,,,,,,,-24.17,160.19,33.73,-29.39,
5-Year Average,,,,-5.6,-63.44,,,,-12.46,33.63,
10-Year Average,,,,7.57,-20.03,-4.67,3.13,-6.34,-9.1,-30.1,
