Key Net Income %,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Year over Year,29.18,1.3,9.69,39.32,16.78,9.46,0.27,-9.28,-10.43,4.88,
3-Year Average,24.14,18.27,12.8,15.68,21.3,21.21,8.63,-0.14,-6.6,-5.19,
5-Year Average,19.07,15.84,16.28,20.38,18.49,14.63,14.39,10.13,0.82,-1.33,
10-Year Average,21.1,15.8,-0.26,12.81,16.2,16.83,15.11,13.16,10.16,8.13,
