Key Financials AUD,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Revenue AUD Mil,0.0,0.0,0.0,0.0,0.0,,,,,,
Gross Margin %,,,,,,,,,,,
Operating Income AUD Mil,-1.0,-4.0,-4.0,-2.0,-5.0,-10.0,-3.0,-14.0,-1.0,-1.0,-1.0
Operating Margin %,,,,,,,,,,,
Net Income AUD Mil,-1.0,-3.0,-4.0,-2.0,-5.0,-10.0,-3.0,-14.0,-2.0,-1.0,-1.0
Earnings Per Share AUD,-0.01,-0.02,-0.02,,-0.01,-0.01,,-0.01,,,
Dividends AUD,,,,,,,,,,,
Payout Ratio % *,,,,,,,,,,,
Shares Mil,123.0,144.0,180.0,345.0,659.0,837.0,965.0,1019.0,1126.0,1298.0,1298.0
Book Value Per Share * AUD,0.12,0.1,0.07,0.06,0.05,0.04,0.03,0.01,0.01,0.01,0.01
Operating Cash Flow AUD Mil,-5.0,-5.0,-2.0,-3.0,-3.0,-2.0,-1.0,-1.0,-1.0,-1.0,-1.0
Cap Spending AUD Mil,-1.0,-0.0,-0.0,-0.0,-0.0,-0.0,,,,,
Free Cash Flow AUD Mil,-6.0,-5.0,-3.0,-3.0,-3.0,-2.0,-1.0,-1.0,-1.0,-1.0,-1.0
Free Cash Flow Per Share * AUD,-0.05,-0.03,-0.01,-0.01,-0.01,,,,,,
Working Capital AUD Mil,2.0,1.0,0.0,-1.0,-0.0,-1.0,-2.0,-2.0,-3.0,-3.0,
