Key Profitability,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Tax Rate %,21.11,,7.12,6.07,,0.59,,,2.67,2.62,2.48
Net Margin %,9.61,7.04,0.68,3.83,11.64,9.74,12.96,13.46,4.79,5.42,6.24
Asset Turnover (Average),0.49,0.46,0.43,0.59,0.78,0.73,0.72,0.62,0.42,0.4,0.51
Return on Assets %,4.71,3.22,0.29,2.25,9.04,7.08,9.31,8.39,1.99,2.15,3.16
Financial Leverage (Average),3.23,4.23,2.5,2.98,3.3,,,,,75.68,37.77
Return on Equity %,14.37,11.87,0.89,6.07,28.35,54.87,,,,,378.62
Return on Invested Capital %,7.43,6.35,3.69,6.28,15.46,14.37,,,,5.34,7.23
Interest Coverage,,1.86,1.2,2.51,4.5,3.54,4.3,4.04,1.96,2.07,2.25
