Key Cash Flow Ratios,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Operating Cash Flow Growth % YOY,,,,,,-91.91,1093.92,-33.71,-24.98,,
Free Cash Flow Growth % YOY,,,,,,,,-9.93,-35.7,,
Cap Ex as a % of Sales,,,,,2.58,3.78,5.37,2.63,3.25,5.03,3.11
Free Cash Flow/Sales %,,,,-0.67,8.5,-2.97,4.2,3.9,3.4,-6.6,-2.4
Free Cash Flow/Net Income,,,-0.03,-0.09,0.98,-1.81,1.06,1.64,-3.98,0.28,0.29
