Key Cash Flow Ratios,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Operating Cash Flow Growth % YOY,-4.01,15.96,22.77,-26.28,20.6,-13.21,63.4,-44.43,4.66,-23.87,
Free Cash Flow Growth % YOY,-8.66,19.06,35.33,-44.41,31.72,-15.86,107.0,-59.9,-13.02,-3.35,
Cap Ex as a % of Sales,3.43,3.38,3.43,5.27,4.95,4.6,4.6,4.8,6.94,4.72,4.03
Free Cash Flow/Sales %,6.45,6.85,9.69,6.63,7.68,6.61,13.56,5.61,5.64,6.23,5.68
Free Cash Flow/Net Income,0.9,0.96,1.24,0.51,0.77,0.75,1.22,0.88,0.23,0.97,0.66
