Key Operating Income %,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Year over Year,7.27,-20.18,7.06,34.05,11.72,7.69,0.37,-2.0,-16.78,-8.99,-17.46
3-Year Average,20.94,2.0,-2.86,4.63,17.04,17.27,6.49,1.94,-6.45,-9.46,
5-Year Average,38.76,18.46,8.61,8.78,6.54,6.62,11.62,9.67,-0.31,-4.31,
10-Year Average,15.4,10.87,11.8,23.82,23.97,21.63,14.99,9.14,4.14,0.97,
