Key Net Income %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,34.84,-27.26,22.38,46.37,41.54,32.87,26.05,28.16,11.79,10.49,
3-Year Average,47.67,24.69,6.27,9.22,36.36,40.15,33.34,29.0,21.78,16.55,
5-Year Average,80.2,46.07,23.44,28.27,19.98,19.63,33.54,34.77,27.7,21.53,
10-Year Average,,,,,41.52,46.82,39.67,28.98,27.99,20.76,
