Key Operating Income %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,-13.63,-91.86,,,96.16,8.97,-1.17,48.93,7.73,-43.82,50.0
3-Year Average,32.42,-53.1,,-35.27,86.97,,28.31,17.05,16.61,-3.4,
5-Year Average,71.16,-14.36,,-19.23,-14.41,-10.33,47.74,,27.65,-0.59,
10-Year Average,41.77,,,11.87,13.9,23.89,12.49,7.08,1.54,-7.76,
