Key Operating Income %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,,100.38,25.23,35.82,45.94,16.12,19.3,-16.51,31.87,,-110.72
3-Year Average,,,30.48,50.49,35.4,32.03,26.45,4.97,9.52,,
5-Year Average,,18.31,19.17,,34.51,42.01,28.02,18.05,17.36,,
10-Year Average,,,29.96,26.77,28.44,20.66,23.07,18.61,,,
