Key Net Income %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,-22.48,-79.94,11.92,256.48,18.7,-56.89,304.99,-21.2,103.74,-43.81,
3-Year Average,1.06,-49.57,-44.17,-7.16,67.93,22.18,27.49,11.22,86.64,-3.38,
5-Year Average,,-19.66,-25.36,-12.54,-5.94,-16.36,52.57,42.23,27.18,9.51,
10-Year Average,4.79,-7.84,-6.95,4.32,,,10.71,3.04,5.46,1.49,
