Key Operating Income %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,54.91,25.07,-64.75,121.57,97.94,-0.45,-8.23,-5.22,13.6,22.42,5.43
3-Year Average,24.69,33.36,-11.93,-0.77,15.63,63.44,21.83,-4.69,-0.4,9.64,
5-Year Average,17.8,20.06,-3.09,13.12,24.54,14.0,7.15,30.59,14.25,3.79,
10-Year Average,21.87,20.02,-0.19,7.08,14.99,15.88,13.42,12.49,13.69,13.69,
