Key Margins % of Sales,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Revenue,100.0,100.0,,100.0,100.0,100.0,,,,100.0,100.0
COGS,,,,,,,,,,108.75,108.75
Gross Margin,,,,,,,,,,-8.75,-8.75
SG&A,,230.24,,,,,,,,10.83,10.83
R&D,,,,,,,,,,,
Other,,75.82,,,,,,,,4.9,4.9
Operating Margin,,-206.06,,,,,,,,-24.49,-24.49
Net Int Inc & Other,,52.03,,,,,,,,10.03,10.03
EBT Margin,,-154.03,,,,,,,,-14.46,-14.46
