Key Operating Income %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,,,,49.54,4347.54,12.15,-18.06,27.55,-3.02,-9.58,39.45
3-Year Average,,,,,,320.94,244.46,5.44,0.45,3.8,
5-Year Average,,,,,,,,138.98,119.16,0.55,
10-Year Average,,,,,,,,,,,
