Key Profitability,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Tax Rate %,,,,,,,,,,,
Net Margin %,,,5.99,-5.01,-2.66,6.62,5.57,7.45,5.96,4.99,4.32
Asset Turnover (Average),,,0.34,0.33,0.4,0.66,0.71,0.66,0.64,0.61,0.63
Return on Assets %,,,2.04,-1.64,-1.06,4.35,3.98,4.9,3.79,3.05,2.7
Financial Leverage (Average),,,1.24,1.44,1.38,1.47,1.43,1.45,1.44,1.47,1.64
Return on Equity %,,,2.52,-2.2,-1.5,6.22,5.77,7.06,5.5,4.45,4.11
Return on Invested Capital %,,,2.24,-1.9,-1.26,5.26,5.01,6.08,3.3,5.63,3.14
Interest Coverage,,,,,,,,,,,
