Key Revenue %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,15.3,13.94,4.19,14.31,10.48,2.63,-45.21,-7.33,0.78,2.2,28.8
3-Year Average,9.61,9.75,11.03,10.71,9.58,9.03,-14.67,-19.53,-20.01,-1.54,
5-Year Average,7.94,8.45,9.35,9.5,11.57,9.0,-5.85,-8.03,-10.31,-11.7,
10-Year Average,8.11,9.0,8.85,9.85,9.08,8.47,1.05,0.28,-0.9,-0.75,
