Key Financials CAD,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Revenue CAD Mil,,,,,,,,,,,
Gross Margin %,,,,,,,,,,,
Operating Income CAD Mil,-2.0,-1.0,-1.0,-12.0,-6.0,-4.0,-3.0,-2.0,-3.0,-4.0,-5.0
Operating Margin %,,,,,,,,,,,
Net Income CAD Mil,-2.0,-1.0,-1.0,-12.0,-6.0,-3.0,-5.0,-46.0,-3.0,-6.0,-5.0
Earnings Per Share CAD,-0.96,-0.64,-0.32,-4.96,-2.55,-0.32,-0.47,-1.39,-0.06,-0.1,-0.1
Dividends CAD,,,,,,,,,,,
Payout Ratio % *,,,,,,,,,,,
Shares Mil,2.0,2.0,2.0,2.0,3.0,10.0,11.0,33.0,55.0,59.0,68.0
Book Value Per Share * CAD,,,,,,,,,,0.21,0.33
Operating Cash Flow CAD Mil,-1.0,-0.0,0.0,-1.0,-1.0,-3.0,-1.0,-0.0,-2.0,-4.0,-2.0
Cap Spending CAD Mil,-3.0,-3.0,-0.0,-0.0,-0.0,-2.0,-2.0,-0.0,-4.0,-4.0,-5.0
Free Cash Flow CAD Mil,-4.0,-4.0,0.0,-1.0,-1.0,-4.0,-2.0,-1.0,-7.0,-8.0,-7.0
Free Cash Flow Per Share * CAD,,,,,,,,,,-0.09,
Working Capital CAD Mil,3.0,-0.0,-1.0,-1.0,-2.0,0.0,-1.0,7.0,6.0,12.0,
