Key Net Income %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,6.86,-22.53,-8.6,6.11,-4.46,42.81,19.26,15.06,21.71,7.48,
3-Year Average,16.11,0.97,-8.88,-9.09,-2.51,13.13,17.62,25.14,18.64,14.6,
5-Year Average,37.0,7.51,2.08,-0.03,-5.17,0.5,9.55,14.72,17.91,20.72,
10-Year Average,8.98,5.74,3.67,39.97,5.32,17.34,8.53,8.21,8.57,7.0,
