Key Net Income %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,,,-63.05,38.75,283.47,41.86,-37.68,19.51,13.0,-58.84,
3-Year Average,,,,,25.28,96.16,50.22,1.85,-5.59,-17.78,
5-Year Average,,,,,,,11.69,41.24,35.56,-13.25,
10-Year Average,,,,,,,,,,,
