Key Margins % of Sales,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
COGS,47.66,59.7,59.27,59.32,58.18,57.21,56.0,54.3,55.29,57.6,59.59
Gross Margin,52.34,40.3,40.73,40.68,41.82,42.79,44.0,45.7,44.71,42.4,40.41
SG&A,13.37,20.51,20.62,19.94,19.82,20.49,20.39,21.06,23.13,22.53,21.99
R&D,6.43,6.17,5.4,5.18,4.81,5.9,7.35,7.54,7.13,7.46,6.5
Other,6.01,7.82,4.43,2.33,0.79,0.08,-0.17,-0.42,-1.03,6.07,0.76
Operating Margin,26.53,5.8,10.28,13.24,16.4,16.32,16.43,17.52,15.49,6.33,11.16
Net Int Inc & Other,-0.13,-6.73,-5.82,-6.71,-5.72,-4.49,-5.62,-4.9,-5.79,-5.24,-4.45
EBT Margin,26.4,-0.93,4.46,6.53,10.68,11.83,10.82,12.62,9.71,1.1,6.71
