Key Net Income %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,,,332.34,162.89,-79.95,-37.83,,,,,
3-Year Average,,,,,31.59,-31.06,,-14.83,,,
5-Year Average,,-17.05,25.44,,,,,-20.1,,,
10-Year Average,,37.16,,,,12.39,,0.11,,,
