Key Operating Income %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,,,16.84,10.12,32.28,3.11,7.71,3.15,-3.69,3.68,-5.46
3-Year Average,,,,,19.39,14.52,13.68,4.64,2.28,0.99,
5-Year Average,,,135.82,,,,13.58,10.79,7.86,2.73,
10-Year Average,,,,,,,,61.63,,,
