Key Operating Income %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,58.95,61.18,17.07,28.7,21.35,21.15,21.06,22.58,8.43,8.34,-1.92
3-Year Average,52.03,55.14,44.21,34.42,22.28,23.69,21.19,21.59,17.18,12.92,
5-Year Average,42.54,49.97,45.99,41.27,36.19,28.99,21.81,22.93,18.79,16.13,
10-Year Average,,,,51.7,39.33,35.6,35.16,33.97,29.54,25.76,
