Key Operating Income %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,-65.94,,,,26.92,23.74,1.63,76.71,-30.38,-5.33,-25.18
3-Year Average,-46.51,,,4.85,,,16.87,30.5,7.73,5.21,
5-Year Average,-17.51,,,-19.2,-13.0,12.6,,,14.45,7.93,
10-Year Average,-7.21,,,-11.98,-4.03,-3.62,-4.37,-6.74,-3.84,-3.1,
