Key Profitability,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Tax Rate %,,,,0.74,24.8,34.69,23.69,35.99,,,
Net Margin %,,,,,8.72,1.82,3.95,2.38,-0.64,-23.21,-8.36
Asset Turnover (Average),,,,,0.91,1.08,1.05,1.01,0.98,0.8,0.97
Return on Assets %,,,39.79,5.92,7.9,1.97,4.17,2.41,-0.63,-18.56,-8.14
Financial Leverage (Average),,,,1.08,2.0,2.01,1.85,1.81,1.77,1.8,1.8
Return on Equity %,,,,6.44,10.81,3.94,8.03,4.41,-1.13,-33.12,-14.99
Return on Invested Capital %,,,,-1.97,7.13,2.7,5.47,3.1,-0.16,-22.98,-10.52
Interest Coverage,,,,,4.82,,,,0.85,-6.74,
