Key Margins % of Sales,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Revenue,,,,,,100.0,100.0,100.0,100.0,100.0,100.0
COGS,,,,,,68.28,64.73,59.71,59.8,62.56,62.49
Gross Margin,,,,,,31.72,35.27,40.29,40.2,37.44,37.51
SG&A,,,,,,13.79,13.19,14.6,20.46,17.99,18.48
R&D,,,,,,18.54,17.18,15.05,17.19,15.53,15.54
Other,,,,,,1.01,2.52,3.48,2.1,1.02,1.49
Operating Margin,,,,,,-1.63,2.38,7.16,0.46,2.9,2.0
Net Int Inc & Other,,,,,,-1.06,-0.3,-0.07,-0.57,-2.0,-1.91
EBT Margin,,,,,,-2.69,2.08,7.09,-0.11,0.9,0.09
