Key Operating Income %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,12.87,11.75,-18.63,42.14,12.99,-14.16,4.01,7.71,21.33,-7.11,11.74
3-Year Average,20.66,15.82,0.87,8.93,9.33,11.3,0.29,-1.29,10.77,6.67,
5-Year Average,19.88,20.43,9.82,12.44,10.51,4.63,3.13,9.08,5.68,1.62,
10-Year Average,21.6,20.49,15.23,15.68,15.53,11.99,11.45,9.45,9.01,5.97,
