Key Operating Income %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,-32.42,-42.15,157.96,54.02,26.43,16.39,13.85,-17.73,2.39,-1.44,2.63
3-Year Average,40.74,-1.02,0.28,31.97,71.26,31.36,18.77,2.92,-1.38,-6.01,
5-Year Average,9.76,-1.86,32.99,30.96,14.45,27.6,46.1,16.25,7.13,1.93,
10-Year Average,37.44,17.7,17.61,19.32,22.38,18.35,19.74,24.34,18.45,8.01,
