Key Efficiency Ratios,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Days Sales Outstanding,,,,,,,,,,388.55,1197.51
Days Inventory,,,,,,,,,,,
Payables Period,,,,,,,,,,2.09,
Cash Conversion Cycle,,,,,,,,,,,
Receivables Turnover,,,,,,,,,,0.94,0.3
Inventory Turnover,,,,,,,,,,,
Fixed Assets Turnover,,,,,,,,,,28.7,13.07
Asset Turnover,,,,,,0.03,0.08,0.03,0.07,1.59,0.29
