Key Cash Flow Ratios,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Operating Cash Flow Growth % YOY,108.46,107.39,33.15,29.21,-4.0,61.19,4.73,-2.63,17.66,40.31,
Free Cash Flow Growth % YOY,,189.39,47.28,28.92,-10.97,48.9,5.0,-3.22,-3.06,48.79,
Cap Ex as a % of Sales,7.43,3.55,1.23,1.42,2.89,5.91,5.84,5.19,9.08,8.83,8.83
Free Cash Flow/Sales %,12.08,22.53,26.51,29.18,22.11,26.36,26.43,22.73,18.48,21.75,21.75
Free Cash Flow/Net Income,0.75,1.04,0.98,1.02,0.85,0.99,0.99,0.88,0.85,1.11,1.11
