Key Net Income %,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Year over Year,-61.18,-61.79,110.38,50.29,5.62,2.62,9.32,0.1,-11.83,13.16,
3-Year Average,2.27,-28.63,-32.17,6.5,49.47,17.66,5.82,3.94,-1.19,-0.04,
5-Year Average,15.09,-11.86,-2.98,2.83,-13.11,5.54,30.23,12.25,0.9,2.3,
10-Year Average,,-8.92,-3.1,8.63,19.8,10.21,7.14,4.36,1.86,-5.72,
