Key Cash Flow Ratios,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Operating Cash Flow Growth % YOY,-621.0,,,,,,,-308.0,,-631.0,
Free Cash Flow Growth % YOY,,,,,734.0,,981.0,95.0,,-971.0,
Cap Ex as a % of Sales,1.58,1.06,0.85,0.71,1.27,0.79,0.88,0.57,0.67,0.97,1.31
Free Cash Flow/Sales %,4.39,6.2,7.24,5.92,6.15,5.38,5.82,5.45,7.86,7.7,5.22
Free Cash Flow/Net Income,0.85,1.16,1.23,1.03,0.98,0.97,1.02,0.95,1.14,1.09,0.8
