Key Margins % of Sales,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
COGS,,,,,,,,,,,
Gross Margin,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,
SG&A,69.78,58.72,52.78,47.64,45.23,43.35,41.55,42.52,43.05,41.99,42.21
R&D,,,,,,,,,,,
Other,2.98,51.98,2.9,2.67,14.36,3.38,4.27,3.4,4.42,4.55,3.67
Operating Margin,27.24,-10.71,44.32,49.68,40.41,53.27,54.17,54.08,52.53,53.46,54.12
Net Int Inc & Other,13.85,3.03,-0.82,0.09,0.52,-0.05,-0.04,-0.29,-1.24,-1.07,-0.95
EBT Margin,41.09,-7.68,43.5,49.77,40.93,53.21,54.14,53.8,51.29,52.39,53.17
