Key Net Income %,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Year over Year,302.02,,,269.91,159.57,5.9,-12.1,-17.33,6.83,8.3,
3-Year Average,35.6,,10.51,7.23,,116.64,34.19,-8.36,-8.09,-1.47,
5-Year Average,39.12,,-4.16,62.2,70.49,28.79,,49.18,16.37,-2.3,
10-Year Average,50.39,,,36.2,36.46,33.96,30.06,20.23,36.8,28.15,
