Key Net Income %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,0.98,11.81,5.47,11.01,11.29,7.62,4.75,7.71,-3.61,14.11,
3-Year Average,17.49,7.96,6.0,9.39,9.22,9.96,7.85,6.68,2.84,5.81,
5-Year Average,,0.73,13.85,8.06,8.03,9.41,7.99,8.45,5.43,5.96,
10-Year Average,9.3,8.62,11.74,3.68,0.57,,4.3,11.12,6.74,6.99,
