Key Profitability,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Tax Rate %,,,,,,0.05,5.2,1.26,1.04,,
Net Margin %,,,,,1.16,2.39,6.7,21.21,29.21,31.29,34.25
Asset Turnover (Average),,,,,3.15,2.1,0.57,0.49,0.35,0.28,0.26
Return on Assets %,,,,,3.65,5.01,3.82,10.45,10.26,8.72,8.97
Financial Leverage (Average),,,,,1.75,2.23,2.63,3.28,3.89,3.65,3.12
Return on Equity %,,,,,6.4,10.08,9.74,31.38,37.32,32.7,30.85
Return on Invested Capital %,,,,,5.77,7.31,4.2,13.67,13.71,12.04,12.1
Interest Coverage,,,,,4.48,4.64,,,,4.27,4.36
