Key Profitability,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Tax Rate %,31.56,,,6.41,,,,,,,
Net Margin %,,,,,,,,,,,
Asset Turnover (Average),,,,,,,,,,,
Return on Assets %,13.26,-44.37,3.27,16.69,9.83,-34.55,-42.3,-26.43,-17.43,-46.4,-46.4
Financial Leverage (Average),1.17,1.03,1.4,1.44,1.47,1.9,1.07,1.12,1.08,1.13,1.13
Return on Equity %,15.38,-50.06,4.13,23.82,14.3,-56.54,-65.07,-28.77,-19.04,-51.09,-51.09
Return on Invested Capital %,14.98,-50.42,1.37,21.91,12.75,-46.07,-57.88,-29.2,-19.21,-51.3,-51.3
Interest Coverage,,,,12.6,2.32,-6.16,-5.83,,,,
