Key Operating Income %,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Year over Year,20.87,,,22.42,-47.67,124.39,3.02,7.62,1.46,9.4,-0.61
3-Year Average,14.72,,-5.93,-5.53,,12.86,6.55,35.5,4.0,6.1,
5-Year Average,12.97,,0.78,3.24,-11.82,-0.2,,9.77,5.72,22.52,
10-Year Average,10.09,,6.88,11.14,1.75,6.18,6.26,5.18,4.47,3.94,
