Key EPS %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,2.49,,,-19.06,,,61.11,1.85,-14.7,7.15,-322.8
3-Year Average,14.84,,0.9,-6.74,,6.1,33.47,,11.86,-2.36,
5-Year Average,23.89,,8.7,,,3.66,,14.41,15.61,,
10-Year Average,15.77,,15.06,10.28,,13.32,12.64,11.52,,6.29,
