Key Cash Flow Ratios,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Operating Cash Flow Growth % YOY,,,,,,,,,,-393.0,
Free Cash Flow Growth % YOY,,,,,,,,,,-393.0,
Cap Ex as a % of Sales,,,,,,,,,,,
Free Cash Flow/Sales %,,,,,,,,45.97,61.83,50.35,50.35
Free Cash Flow/Net Income,,,,,,,,0.99,0.51,0.58,0.58
