Key Operating Income %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,,,,42.85,18.22,-7.57,3.08,-2.69,22.02,-1.7,
3-Year Average,,,,,,16.0,4.05,-2.49,6.97,5.29,
5-Year Average,,,,,,,,9.38,5.99,2.15,
10-Year Average,,,,,,,,,,,
