Key EPS %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,,,,-75.19,,,-5.2,-31.61,,,
3-Year Average,50.61,,,-34.47,,-28.72,11.44,,,,
5-Year Average,,,31.12,-23.5,,-16.3,,-25.16,,,
10-Year Average,,,,,,,,-0.94,,,
