Key Operating Income %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,-1.65,-82.93,706.83,16.88,-15.34,-2.18,-0.7,-38.02,-8.16,25.65,2.33
3-Year Average,7.49,-42.53,10.64,17.19,99.86,-1.08,-6.31,-15.56,-17.32,-10.57,
5-Year Average,4.58,-27.69,11.33,12.35,6.03,5.92,50.63,-9.84,-14.08,-7.02,
10-Year Average,5.14,-13.11,5.21,6.26,4.56,5.24,4.37,0.19,-1.75,-0.71,
