Key Margins % of Sales,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue,,,,,,100.0,100.0,100.0,100.0,100.0,100.0
COGS,,,,,,,,,,,
Gross Margin,,,,,,,,,,,
SG&A,,,,,,13.24,12.44,13.4,14.95,19.81,22.55
R&D,,,,,,,,,,,
Other,,,,,,-13.24,-12.44,-13.4,-14.95,-19.81,-22.55
Operating Margin,,,,,,41.63,51.49,50.87,50.59,43.9,37.02
Net Int Inc & Other,,,,,,,,,,,
EBT Margin,,,,,,41.63,51.49,50.87,50.59,43.9,37.02
