Key Margins % of Sales,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
COGS,,,,,,0.05,0.18,0.59,3.58,5.26,5.41
Gross Margin,100.0,100.0,100.0,100.0,100.0,99.95,99.82,99.41,96.42,94.74,94.59
SG&A,44.25,435.65,297.68,19.03,61.64,28.74,30.99,32.41,26.08,27.43,25.71
R&D,304.56,,,72.92,189.2,70.82,73.37,67.94,63.62,52.62,73.38
Other,-1.18,-5.79,21.71,-0.22,0.75,,,,,1.58,0.37
Operating Margin,-247.62,,,8.27,-151.59,0.39,-4.54,-0.94,6.72,13.11,-4.87
Net Int Inc & Other,-4.65,,,-27.02,-45.9,-15.25,-18.8,-8.55,-5.72,-3.4,-6.03
EBT Margin,-252.27,,,-18.75,-197.49,-14.86,-23.34,-9.49,1.0,9.71,-10.9
