Key Net Income %,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Year over Year,5.92,5.76,-94.4,1494.29,-46.06,148.67,1.47,13.76,18.0,-3.14,
3-Year Average,,9.24,-60.26,-1.87,-21.59,177.57,10.82,42.12,10.85,9.14,
5-Year Average,-0.4,31.72,,3.1,-11.6,4.86,3.99,89.88,12.81,26.82,
10-Year Average,11.01,11.65,-19.7,2.44,-5.35,2.19,17.04,,7.85,5.88,
