Key Net Income %,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Year over Year,14.39,-46.44,8.96,89.35,9.79,-17.66,9.77,-2.78,-20.28,21.88,
3-Year Average,16.23,-8.93,-12.61,3.38,31.33,19.62,-0.26,-4.22,-5.25,-1.88,
5-Year Average,37.06,8.02,-1.73,9.28,6.77,-0.02,15.41,12.81,-5.12,-3.11,
10-Year Average,11.51,5.06,4.17,11.9,24.36,17.06,11.65,5.29,1.83,1.71,
