Key Revenue %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,18.7,11.51,-4.33,4.75,10.71,4.08,3.97,-4.17,0.3,-1.57,
3-Year Average,15.95,16.03,8.19,3.77,3.52,6.48,6.21,1.22,-0.02,-1.83,
5-Year Average,11.63,13.38,10.71,9.38,7.99,5.19,3.73,3.76,2.87,0.47,
10-Year Average,16.46,14.96,15.48,9.18,8.17,8.36,8.44,7.18,6.07,4.16,
