Key Cash Flow Ratios,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Operating Cash Flow Growth % YOY,978.0,,90.0,,,658.0,,,,,
Free Cash Flow Growth % YOY,,,,,,145.0,,,,,
Cap Ex as a % of Sales,3.03,2.82,2.99,2.34,2.1,2.13,2.37,2.61,3.05,3.21,2.69
Free Cash Flow/Sales %,0.65,0.98,0.81,1.76,0.84,0.8,1.07,1.23,1.35,0.5,1.18
Free Cash Flow/Net Income,0.39,0.6,8.93,1.3,1.26,0.52,0.69,0.77,0.73,0.29,0.9
