Key Margins % of Sales,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
COGS,42.86,48.04,36.73,38.6,38.41,34.34,37.37,38.54,35.56,29.86,32.34
Gross Margin,57.14,51.96,63.27,61.4,61.59,65.66,62.63,61.46,64.44,70.14,67.66
SG&A,,1.45,1.85,1.84,1.7,1.79,2.13,2.18,2.43,3.02,3.67
R&D,,,,,,,,,,,
Other,39.24,33.07,40.16,40.2,41.96,51.23,48.61,43.22,64.6,75.3,77.97
Operating Margin,17.91,17.44,21.26,19.74,17.93,12.63,11.9,16.06,-2.6,-8.17,-13.98
Net Int Inc & Other,-3.54,-3.36,-3.73,-3.31,-3.2,-3.9,-3.5,-3.66,-4.35,-4.57,-3.31
EBT Margin,14.36,14.08,17.53,16.43,14.73,8.73,8.4,12.4,-6.95,-12.74,-17.28
