Key Operating Income %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,-98.69,18632.35,32.33,101.4,-27.31,-0.15,8.44,-16.38,51.84,50.98,
3-Year Average,-77.24,43.24,47.96,693.3,24.66,13.49,-7.67,-3.26,11.25,24.22,
5-Year Average,-46.26,57.61,31.11,50.93,36.52,224.96,15.97,5.8,-0.01,15.72,
10-Year Average,,61.16,49.4,60.61,43.16,34.07,34.85,17.57,22.85,25.69,
